T32,Net disbursements of official development assistance from donors,,,,,
438,Liechtenstein,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
438,Liechtenstein,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),24,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
438,Liechtenstein,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),25,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
438,Liechtenstein,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.62,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
438,Liechtenstein,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),37,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),46,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),48,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),57,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),59,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.06,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.14,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
440,Lithuania,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),8,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),256,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),403,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),423,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),363,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),391,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),424,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.36,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.06,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.95,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.00,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
442,Luxembourg,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.00,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),14,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),20,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),21,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),26,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.18,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.20,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.20,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
470,Malta,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.22,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),608,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,136",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,226",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,115",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,357",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,573",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,726",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,966",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,955",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.91,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.81,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.82,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.81,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.64,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.75,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
528,Netherlands,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.60,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),66,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),123,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),274,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),342,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),506,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),442,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),447,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),436,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
554,New Zealand,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),184,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),574,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,244",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,794",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,372",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,086",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,278",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,380",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,123",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.01,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.86,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.94,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.00,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
578,Norway,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.99,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),92,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),483,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),381,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),274,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),255,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),328,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.14,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
158,Other non-specified areas,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.06,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),205,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),378,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),452,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),441,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),663,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),674,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.07,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.08,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.15,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
616,Poland,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
620,Portugal,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
620,Portugal,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),258,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
620,Portugal,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),377,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
620,Portugal,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),649,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
620,Portugal,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),430,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
